click_rate_event_date,click_rate_click_user_cnt,click_rate_show_user_cnt,click_rate_click_rate,chat_start_rate_event_date,chat_start_rate_chat_user_cnt,chat_start_rate_click_user_cnt,chat_start_rate_chat_start_rate,avg_chat_rounds_event_date,avg_chat_rounds_total_chat_rounds,avg_chat_rounds_chat_user_cnt,avg_chat_rounds_avg_chat_rounds,sticky_score_total_return_users,sticky_score_sticky_score,avg_chat_rounds_user_total_chat_rounds,avg_chat_rounds_user_total_user_cnt,avg_chat_rounds_user_avg_chat_rounds_per_user,avg_retention_days_user_cnt,avg_retention_days_avg_retention_days,prompt_id,bot_type,sticky_score_click_user_cnt,sticky_score_show_user_cnt,sticky_score_chat_user_cnt,sticky_score_total_chat_rounds,sticky_score_avg_retention_days,click_rate_click_rate_norm,chat_start_rate_chat_start_rate_norm,avg_chat_rounds_avg_chat_rounds_norm,sticky_score_sticky_score_norm,avg_chat_rounds_user_avg_chat_rounds_per_user_norm,avg_retention_days_avg_retention_days_norm,final_score,rank
2025-03-15,3436,26793,0.1282,2025-03-15,2082,3436,0.6059,2025-03-15,69828,2082,33.54,9.0,17565,2059.0,19.0,108.37,3.0,3.0,bmckV597-HSYoIkI6rEkq,non_sora,,,,,,0.5702353834472286,0.7391874180865008,0.6348623853211008,0.01041469633349464,0.8232053422370618,0.6514657980456026,0.5549319245408251,1.0
2025-03-15,4565,54027,0.0845,2025-03-15,3034,4565,0.6646,2025-03-15,67131,3034,22.13,19.0,22836,3629.0,55.0,65.98,15.0,4.07,Tg4lWUf3pG8Q9IsRRclsN,non_sora,,,,,,0.23842065299924076,0.9956312800349497,0.11146788990825686,0.013559870183262615,0.46936560934891486,1.0,0.4422838671915059,4.0
2025-03-15,5291,28629,0.1848,2025-03-15,2940,5291,0.5557,2025-03-15,62112,2940,21.13,,,301.0,8.0,37.63,3.0,1.0,0dhTP4cV6TaeuPheaVq8B,non_sora,,,,,,1.0,0.5198776758409785,0.06559633027522935,,0.2327212020033389,0.0,0.01,10.0
2025-03-15,3713,49970,0.0743,2025-03-15,2255,3713,0.6073,2025-03-15,55790,2255,24.74,3485.0,1676012,494043.0,19721.0,25.05,3245.0,1.65,odvQMgn0TWi5VWBxi4EUu,non_sora,,,,,,0.16097190584662116,0.7453036260375709,0.23119266055045867,1.0,0.12771285475792987,0.2117263843648208,0.40475393312306107,5.0
2025-03-15,3497,65818,0.0531,2025-03-15,1910,3497,0.5462,2025-03-15,54734,1910,28.66,1066.0,783892,214702.0,6522.0,32.92,946.0,1.73,LLQIdJs-0LtgnzHxeX1dY,non_sora,,,,,,0.0,0.4783748361730015,0.41100917431192663,0.4676773866714084,0.19340567612687812,0.23778501628664492,0.3098129342966718,6.0
2025-03-15,4470,37570,0.119,2025-03-15,2186,4470,0.489,2025-03-15,53531,2186,24.49,2.0,111,117.0,12.0,9.75,3.0,1.67,IGkaqqsfSV5p7_YsS8ALf,non_sora,,,,,,0.5003796507213363,0.22848405417212764,0.21972477064220178,0.0,0.0,0.21824104234527683,0.16047953308684212,9.0
2025-03-15,2584,31196,0.0828,2025-03-15,1191,2584,0.4609,2025-03-15,49431,1191,41.5,144.0,303704,49950.0,660.0,75.68,120.0,2.82,ANKHr_7FZqe4I9xqHZKmu,non_sora,,,,,,0.2255125284738041,0.10572302315421582,1.0,0.18115210862694156,0.5503338898163606,0.5928338762214983,0.4979875300957621,2.0
2025-03-15,3104,29556,0.105,2025-03-15,1752,3104,0.5644,2025-03-15,48231,1752,27.53,64.0,45496,8715.0,259.0,33.65,59.0,2.27,uzGk2SRFN_kCK1Ys2Mgee,non_sora,,,,,,0.3940774487471526,0.5578855395369159,0.3591743119266056,0.027080955259290374,0.19949916527545908,0.4136807817589576,0.2950833416724694,7.0
2025-03-15,4568,64041,0.0713,2025-03-15,1995,4568,0.4367,2025-03-15,43136,1995,21.62,2115.0,1324571,364307.0,15525.0,23.47,2939.0,1.54,3wQALO7A5GuBvZ9ytpHPA,non_sora,,,,,,0.1381928625664389,0.0,0.08807339449541292,0.7902972788965458,0.11452420701168613,0.1758957654723127,0.2475774154318354,8.0
2025-03-15,3188,22878,0.1393,2025-03-15,2122,3188,0.6656,2025-03-15,41809,2122,19.7,7.0,22056,2591.0,20.0,129.55,14.0,2.43,49pT34H__zh7TWXBCRdrt,non_sora,,,,,,0.6545178435839029,1.0,0.0,0.01309444889644436,1.0,0.46579804560260585,0.46123028325820037,3.0
